nfe.id_nfe,nfe.numero_nfe,nfe.serie,nfe.data_emissao,nfe.natureza_operacao,nfe.cnpj_emitente,nfe.nome_emitente,nfe.uf_emitente,nfe.municipio_emitente,nfe.nome_destinatario,nfe.valor_produtos,nfe.valor_desconto,nfe.valor_total_nf,nfe.arquivo_origem
NFe13180353974062000160550030007021521670787680,702152,3,2018-03-07T17:53:54-03:00,VENDA DE MERCADORIA,53974062000160,RIOS SUPERMERCADO LTDA,AM,REZENDE DO GALHO,DANTE OLIVEIRA,65.99,1.6,64.39,nfe_100.xml
NFe13180796205487000118550020002217831735205328,221783,2,2018-07-26T14:43:56-03:00,VENDA DE MERCADORIA,96205487000118,ALMEIDA SUPERMERCADOS LTDA,AM,ARAGÃO,SRTA. LUANA CAVALCANTI,90.31,0.47,89.84,nfe_099.xml
NFe13181042865713000168550010008259381931183677,825938,1,2018-10-22T14:09:00-03:00,VENDA DE MERCADORIA,42865713000168,BRITO SUPERMERCADOS LTDA,AM,DA COSTA DO OESTE,BRAYAN MORAES,176.05,0.63,175.42,nfe_068.xml
NFe13190776093481000199550020005450971778892349,545097,2,2019-07-31T18:07:23-03:00,VENDA DE MERCADORIA,76093481000199,PASTOR SUPERMERCADOS LTDA,AM,DA PAZ,MARCOS VINICIUS FREITAS,108.9,1.58,107.32,nfe_067.xml
NFe13220636207415000188550010004236191383093958,423619,1,2022-06-27T18:33:36-03:00,VENDA DE MERCADORIA,36207415000188,SANTOS SUPERMERCADOS LTDA,AM,FONSECA,FERNANDO CÂMARA,131.02,0.47,130.55,nfe_019.xml
NFe13220671952803000194550030003950131422721087,395013,3,2022-06-02T16:39:42-03:00,VENDA DE MERCADORIA,71952803000194,SILVA ATACAREJO LTDA,AM,DIAS,LUANA RAMOS,3.8,0.16,3.64,nfe_080.xml
NFe13230676385124000102550020004902571679444529,490257,2,2023-06-02T11:56:44-03:00,VENDA DE MERCADORIA,76385124000102,SILVEIRA HIPERMERCADO LTDA,AM,PIRES DOS DOURADOS,LUNA BORGES,306.7,0.0,306.7,nfe_095.xml
NFe14200468721493000192550020006413001567744392,641300,2,2020-04-24T10:57:15-03:00,VENDA DE MERCADORIA,68721493000192,CAVALCANTI MERCEARIA LTDA,RR,ARAGÃO,DR. DOM BARROS,11.7,0.45,11.25,nfe_057.xml
NFe14230621639754000166550010003756011666072254,375601,1,2023-06-29T12:29:46-03:00,VENDA DE MERCADORIA,21639754000166,MACEDO MERCADINHO LTDA,RR,RIOS DE DA LUZ,LUCAS VIEIRA,43.33,0.0,43.33,nfe_090.xml
NFe14251181743625000145550020007352831300618190,735283,2,2025-11-09T11:44:57-03:00,VENDA DE MERCADORIA,81743625000145,PASTOR SUPERMERCADOS LTDA,RR,MORAES,LAVÍNIA CARDOSO,200.41,0.0,200.41,nfe_025.xml
NFe15190795724103000100550010008976181671237635,897618,1,2019-07-28T15:06:28-03:00,VENDA DE MERCADORIA,95724103000100,PIMENTA MERCADO LTDA,PA,REZENDE DE MINAS,THEODORO CARVALHO,18.39,0.0,18.39,nfe_093.xml
NFe15201104259871000185550010005568551818557156,556855,1,2020-11-20T12:04:57-03:00,VENDA DE MERCADORIA,04259871000185,OLIVEIRA MERCADO LTDA,PA,PIRES,PIETRA CAMARGO,118.94,3.78,115.16,nfe_085.xml
NFe15201221740863000175550030009989531460467610,998953,3,2020-12-07T14:00:19-03:00,VENDA DE MERCADORIA,21740863000175,BARBOSA MERCADINHO LTDA,PA,GUERRA PAULISTA,RYAN ROCHA,15.18,0.69,14.49,nfe_069.xml
NFe15201240879132000150550020008297721267542303,829772,2,2020-12-18T11:45:32-03:00,VENDA DE MERCADORIA,40879132000150,PASTOR MERCADO LTDA,PA,APARECIDA DE COSTELA,SR. LEVI CAVALCANTI,65.03,0.7,64.33,nfe_084.xml
NFe15230571934620000146550030008471871685735048,847187,3,2023-05-08T16:55:39-03:00,VENDA DE MERCADORIA,71934620000146,VASCONCELOS MERCADINHO LTDA,PA,PIMENTA ALEGRE,NATÁLIA DA ROSA,155.33,0.0,155.33,nfe_058.xml
NFe15250351739026000197550020006536031463617251,653603,2,2025-03-16T14:41:45-03:00,VENDA DE MERCADORIA,51739026000197,PINTO HIPERMERCADO LTDA,PA,BORGES,LORENA VASCONCELOS,97.42,0.0,97.42,nfe_055.xml
NFe15250473416928000125550030006299511827981056,629951,3,2025-04-24T18:46:12-03:00,VENDA DE MERCADORIA,73416928000125,DA PAZ ATACAREJO LTDA,PA,CAVALCANTI DO OESTE,CATARINA PORTO,59.41,2.25,57.16,nfe_053.xml
NFe16200305672934000193550030005677151581845032,567715,3,2020-03-28T08:18:39-03:00,VENDA DE MERCADORIA,05672934000193,MORAES SUPERMERCADO LTDA,AP,CARDOSO,SRA. ELOÁ CAMPOS,103.23,0.0,103.23,nfe_082.xml
NFe16221295804276000139550020005378761637941859,537876,2,2022-12-12T08:55:41-03:00,VENDA DE MERCADORIA,95804276000139,FERNANDES SUPERMERCADOS LTDA,AP,DA COSTA DE JESUS,LUARA FOGAÇA,41.13,0.08,41.05,nfe_056.xml
NFe16230946583021000188550010009474051806877717,947405,1,2023-09-17T15:19:50-03:00,VENDA DE MERCADORIA,46583021000188,SANTOS SUPERMERCADO LTDA,AP,MACEDO,LEVI ABREU,91.02,0.58,90.44,nfe_064.xml
NFe16231241268370000191550030009926621216887262,992662,3,2023-12-06T17:58:13-03:00,VENDA DE MERCADORIA,41268370000191,ROCHA MERCADO LTDA,AP,DAS NEVES,HELOISA AZEVEDO,132.67,1.36,131.31,nfe_071.xml
NFe17201205641832000100550020003979331846898119,397933,2,2020-12-31T17:24:15-03:00,VENDA DE MERCADORIA,05641832000100,DA ROSA MERCADINHO LTDA,TO,GOMES,SR. HENRY GABRIEL NOGUEIRA,117.39,0.12,117.27,nfe_072.xml
NFe21181187352046000158550020006663011841404065,666301,2,2018-11-02T11:48:20-03:00,VENDA DE MERCADORIA,87352046000158,SALES ATACAREJO LTDA,MA,CASA GRANDE,ANTONY BORGES,86.74,1.56,85.18,nfe_033.xml
NFe21210823974801000153550020004645371127190704,464537,2,2021-08-11T15:22:57-03:00,VENDA DE MERCADORIA,23974801000153,DA ROCHA HIPERMERCADO LTDA,MA,MARTINS DE APARECIDA,LUIZ OTÁVIO MELO,129.43,0.0,129.43,nfe_036.xml
NFe21230731649502000171550020007698341929138283,769834,2,2023-07-23T17:22:57-03:00,VENDA DE MERCADORIA,31649502000171,FERREIRA MERCADO LTDA,MA,BARBOSA,SOPHIE CARVALHO,164.5,5.68,158.82,nfe_042.xml
NFe23180876590128000114550010000357501111331495,35750,1,2018-08-08T14:01:10-03:00,VENDA DE MERCADORIA,76590128000114,GUERRA MERCADINHO LTDA,CE,PASTOR ALEGRE,DRA. EMANUELLY CAVALCANTI,42.88,0.0,42.88,nfe_031.xml
NFe23190701627489000199550010001564751157663210,156475,1,2019-07-13T14:29:18-03:00,VENDA DE MERCADORIA,01627489000199,GONÇALVES ATACAREJO LTDA,CE,RODRIGUES,LUNNA DA CRUZ,122.09,0.0,122.09,nfe_054.xml
NFe23230758370469000100550020002373551292380655,237355,2,2023-07-12T08:02:47-03:00,VENDA DE MERCADORIA,58370469000100,DA CRUZ ATACAREJO LTDA,CE,CALDEIRA VERDE,JOÃO VITOR GOMES,48.7,1.97,46.73,nfe_065.xml
NFe23240828346150000170550030009593971406317121,959397,3,2024-08-29T12:52:54-03:00,VENDA DE MERCADORIA,28346150000170,GONÇALVES HIPERMERCADO LTDA,CE,CUNHA,ISABELA PIMENTA,21.55,0.65,20.9,nfe_029.xml
NFe24190612367804000102550010004562841190657828,456284,1,2019-06-03T11:05:22-03:00,VENDA DE MERCADORIA,12367804000102,NOVAIS MERCADO LTDA,RN,SANTOS,YASMIN ARAGÃO,170.52,0.0,170.52,nfe_008.xml
NFe24200752149708000102550010009330071967348809,933007,1,2020-07-27T09:27:48-03:00,VENDA DE MERCADORIA,52149708000102,JESUS MERCADINHO LTDA,RN,MENDES,DIOGO PIMENTA,85.99,0.0,85.99,nfe_097.xml
NFe24230792075836000173550010004342951910933918,434295,1,2023-07-02T15:25:08-03:00,VENDA DE MERCADORIA,92075836000173,VASCONCELOS MERCEARIA LTDA,RN,COSTA PAULISTA,MARIANE ABREU,31.8,0.92,30.88,nfe_050.xml
NFe24250549256018000148550010009580201928684852,958020,1,2025-05-15T17:49:25-03:00,VENDA DE MERCADORIA,49256018000148,CASTRO HIPERMERCADO LTDA,RN,NOVAES,ANTÔNIO RIBEIRO,156.81,0.6,156.21,nfe_022.xml
NFe25180748326059000109550030001937941561041002,193794,3,2018-07-15T18:17:39-03:00,VENDA DE MERCADORIA,48326059000109,RIOS SUPERMERCADO LTDA,PB,ROCHA DA PRAIA,ISADORA AZEVEDO,93.98,0.0,93.98,nfe_092.xml
NFe25190423645971000194550010007027601944325394,702760,1,2019-04-20T15:42:53-03:00,VENDA DE MERCADORIA,23645971000194,SAMPAIO MERCADINHO LTDA,PB,SAMPAIO DO OESTE,MARIA LIZ DA LUZ,122.75,0.45,122.3,nfe_087.xml
NFe25250457431082000146550030009844201664189262,984420,3,2025-04-16T10:41:56-03:00,VENDA DE MERCADORIA,57431082000146,SANTOS SUPERMERCADO LTDA,PB,GARCIA,DR. MATHIAS SÁ,80.64,0.53,80.11,nfe_039.xml
NFe26200312657039000165550010005072041297053387,507204,1,2020-03-25T13:17:49-03:00,VENDA DE MERCADORIA,12657039000165,CASTRO SUPERMERCADOS LTDA,PE,MACHADO,ESTER CASSIANO,137.24,1.13,136.11,nfe_045.xml
NFe26200967452098000199550020004667571291342543,466757,2,2020-09-02T14:50:58-03:00,VENDA DE MERCADORIA,67452098000199,FERREIRA ATACAREJO LTDA,PE,ARAÚJO DA PRAIA,MARCELO MENDES,150.39,3.12,147.27,nfe_083.xml
NFe26201272569843000114550010009219221240261286,921922,1,2020-12-28T15:52:12-03:00,VENDA DE MERCADORIA,72569843000114,DA ROCHA HIPERMERCADO LTDA,PE,MARTINS DE RODRIGUES,SARAH DA CRUZ,54.03,3.58,50.45,nfe_002.xml
NFe26220526973410000102550020001485421584688451,148542,2,2022-05-23T18:01:06-03:00,VENDA DE MERCADORIA,26973410000102,FOGAÇA SUPERMERCADOS LTDA,PE,CASTRO,PIETRA DA MOTA,259.25,5.14,254.11,nfe_076.xml
NFe26231104516832000116550010006435671879941446,643567,1,2023-11-22T11:44:44-03:00,VENDA DE MERCADORIA,04516832000116,VARGAS ATACAREJO LTDA,PE,BARROS,ANNA LIZ RIBEIRO,185.38,0.0,185.38,nfe_034.xml
NFe27180648169725000134550030006337031618510396,633703,3,2018-06-02T12:21:41-03:00,VENDA DE MERCADORIA,48169725000134,ABREU MERCEARIA LTDA,AL,CAVALCANTE DA PRATA,BRUNA CALDEIRA,116.42,0.68,115.74,nfe_015.xml
NFe27181009731462000153550010004538141144483691,453814,1,2018-10-10T08:58:40-03:00,VENDA DE MERCADORIA,09731462000153,ARAÚJO MERCADO LTDA,AL,CARDOSO DA PRAIA,KEVIN VASCONCELOS,146.7,2.83,143.87,nfe_059.xml
NFe27181136082951000102550020000668541616548014,66854,2,2018-11-06T16:22:27-03:00,VENDA DE MERCADORIA,36082951000102,SAMPAIO MERCADO LTDA,AL,CASSIANO,CECILIA BARBOSA,104.24,0.0,104.24,nfe_048.xml
NFe27230504526819000148550030003708391902902934,370839,3,2023-05-20T11:23:22-03:00,VENDA DE MERCADORIA,04526819000148,ANDRADE SUPERMERCADO LTDA,AL,NASCIMENTO,EMANUEL FOGAÇA,162.48,1.22,161.26,nfe_070.xml
NFe27240358367192000159550010008622321906680197,862232,1,2024-03-23T11:32:33-03:00,VENDA DE MERCADORIA,58367192000159,ARAÚJO SUPERMERCADOS LTDA,AL,AZEVEDO,PEDRO MIGUEL SILVEIRA,22.95,0.0,22.95,nfe_003.xml
NFe27240997543628000175550010002450691863143144,245069,1,2024-09-22T16:31:20-03:00,VENDA DE MERCADORIA,97543628000175,OLIVEIRA ATACAREJO LTDA,AL,LOPES DA PRAIA,NATHAN NUNES,206.98,0.47,206.51,nfe_081.xml
NFe28180382563910000147550010003121081657565347,312108,1,2018-03-12T18:48:25-03:00,VENDA DE MERCADORIA,82563910000147,MACEDO MERCADO LTDA,SE,NUNES,JOANA CAVALCANTI,80.75,2.6,78.15,nfe_018.xml
NFe28250937820619000152550020004209531243016318,420953,2,2025-09-30T14:21:16-03:00,VENDA DE MERCADORIA,37820619000152,APARECIDA MERCADO LTDA,SE,DIAS,RAUL NOGUEIRA,109.39,5.15,104.24,nfe_012.xml
NFe28250968740251000146550010004738231146949404,473823,1,2025-09-23T18:47:19-03:00,VENDA DE MERCADORIA,68740251000146,CORREIA HIPERMERCADO LTDA,SE,PACHECO,AMANDA SOUZA,61.48,0.0,61.48,nfe_051.xml
NFe29180693567420000135550020003587921898720810,358792,2,2018-06-15T08:30:39-03:00,VENDA DE MERCADORIA,93567420000135,ROCHA MERCADINHO LTDA,BA,ARAÚJO DE PIRES,SAMUEL RIOS,135.06,6.34,128.72,nfe_086.xml
NFe29180968172439000135550030009730201579629581,973020,3,2018-09-04T15:30:05-03:00,VENDA DE MERCADORIA,68172439000135,MENDES MERCEARIA LTDA,BA,FARIAS DA MATA,MIRELLA PINTO,66.4,0.0,66.4,nfe_020.xml
NFe29181002843765000119550020000479101215843650,47910,2,2018-10-18T18:27:26-03:00,VENDA DE MERCADORIA,02843765000119,MONTEIRO MERCADINHO LTDA,BA,FONSECA,PEDRO MIGUEL VIEIRA,18.3,0.0,18.3,nfe_026.xml
NFe29200359802361000102550030001419701639905370,141970,3,2020-03-23T10:12:54-03:00,VENDA DE MERCADORIA,59802361000102,SALES MERCADO LTDA,BA,MONTEIRO,BEATRIZ VARGAS,174.03,1.95,172.08,nfe_061.xml
NFe29221267140958000159550030000380361546179780,38036,3,2022-12-25T16:46:40-03:00,VENDA DE MERCADORIA,67140958000159,BRITO SUPERMERCADO LTDA,BA,FERNANDES DO CAMPO,THIAGO CAVALCANTE,119.32,0.0,119.32,nfe_091.xml
NFe29241032751869000164550030002408371657274621,240837,3,2024-10-06T13:03:06-03:00,VENDA DE MERCADORIA,32751869000164,ALBUQUERQUE HIPERMERCADO LTDA,BA,GUERRA DA PRATA,SRA. SARAH PASTOR,57.03,0.27,56.76,nfe_075.xml
NFe31190921560843000112550030001348861999447678,134886,3,2019-09-25T12:36:05-03:00,VENDA DE MERCADORIA,21560843000112,CORREIA HIPERMERCADO LTDA,MG,ARAÚJO DE DA CUNHA,ANTONELLA CARDOSO,125.14,4.17,120.97,nfe_017.xml
NFe31210963298745000107550020002173691141379901,217369,2,2021-09-04T17:36:25-03:00,VENDA DE MERCADORIA,63298745000107,ALMEIDA MERCEARIA LTDA,MG,DA CRUZ DO AMPARO,ALLANA BARROS,117.57,0.15,117.42,nfe_032.xml
NFe31221081579046000109550010001956251369912330,195625,1,2022-10-30T14:54:58-03:00,VENDA DE MERCADORIA,81579046000109,LOPES SUPERMERCADO LTDA,MG,PEREIRA DO AMPARO,REBECA NUNES,132.99,0.0,132.99,nfe_046.xml
NFe32221129573406000145550030003519341193744946,351934,3,2022-11-23T11:26:43-03:00,VENDA DE MERCADORIA,29573406000145,PIMENTA HIPERMERCADO LTDA,ES,MACHADO PAULISTA,ARTHUR GABRIEL SOUZA,136.14,6.74,129.4,nfe_006.xml
NFe33180538052974000191550010008930671191966078,893067,1,2018-05-25T09:52:11-03:00,VENDA DE MERCADORIA,38052974000191,VIANA ATACAREJO LTDA,RJ,FONSECA DE DA ROCHA,PEDRO HENRIQUE ABREU,45.87,0.0,45.87,nfe_049.xml
NFe33211120671549000115550020007015861391958787,701586,2,2021-11-07T11:09:07-03:00,VENDA DE MERCADORIA,20671549000115,DA PAZ MERCADO LTDA,RJ,APARECIDA GRANDE,ANTONY BARROS,107.52,0.96,106.56,nfe_089.xml
NFe33240848596213000154550030001777511866462520,177751,3,2024-08-29T12:29:05-03:00,VENDA DE MERCADORIA,48596213000154,PEIXOTO HIPERMERCADO LTDA,RJ,DAS NEVES GRANDE,KAIQUE PORTO,256.74,0.97,255.77,nfe_096.xml
NFe35210206714925000180550010005252081785405739,525208,1,2021-02-13T14:40:41-03:00,VENDA DE MERCADORIA,06714925000180,RIOS SUPERMERCADO LTDA,SP,DA PAZ,VITOR HUGO NOVAES,15.72,0.0,15.72,nfe_037.xml
NFe35220528695410000113550030000741481349658530,74148,3,2022-05-07T12:55:27-03:00,VENDA DE MERCADORIA,28695410000113,CARVALHO SUPERMERCADOS LTDA,SP,DUARTE DE MORAES,RHAVI CAVALCANTI,192.07,4.1,187.97,nfe_023.xml
NFe35220613892074000121550020009762191591267899,976219,2,2022-06-12T17:53:17-03:00,VENDA DE MERCADORIA,13892074000121,NASCIMENTO MERCADO LTDA,SP,RODRIGUES,FRANCISCO MOURA,84.14,2.13,82.01,nfe_060.xml
NFe35240574290356000143550030004044801866056005,404480,3,2024-05-11T08:14:00-03:00,VENDA DE MERCADORIA,74290356000143,CORREIA SUPERMERCADO LTDA,SP,MORAES,LORENA MACHADO,60.43,0.0,60.43,nfe_078.xml
NFe35250805768142000117550030008513001222121415,851300,3,2025-08-07T16:56:31-03:00,VENDA DE MERCADORIA,05768142000117,FOGAÇA SUPERMERCADOS LTDA,SP,FERREIRA GRANDE,VINÍCIUS PASTOR,41.45,0.55,40.9,nfe_062.xml
NFe41190961304298000118550010005463491342660200,546349,1,2019-09-11T09:00:16-03:00,VENDA DE MERCADORIA,61304298000118,CAVALCANTI ATACAREJO LTDA,PR,CUNHA DA PRAIA,SARA FONSECA,151.59,2.86,148.73,nfe_038.xml
NFe42190357349802000129550010006760451984910597,676045,1,2019-03-17T09:54:00-03:00,VENDA DE MERCADORIA,57349802000129,FREITAS MERCADINHO LTDA,SC,NUNES DE GONÇALVES,SR. ISAQUE BRITO,18.28,0.0,18.28,nfe_005.xml
NFe42210626578941000109550030001453551826325023,145355,3,2021-06-22T15:07:30-03:00,VENDA DE MERCADORIA,26578941000109,VASCONCELOS SUPERMERCADOS LTDA,SC,DA COSTA,MARCELA JESUS,14.87,0.0,14.87,nfe_016.xml
NFe42220912975480000195550010001429771904380789,142977,1,2022-09-17T12:06:32-03:00,VENDA DE MERCADORIA,12975480000195,VIEIRA ATACAREJO LTDA,SC,GUERRA,LAÍS FOGAÇA,39.13,0.0,39.13,nfe_011.xml
NFe42221072643850000119550010003331301608944298,333130,1,2022-10-21T16:01:29-03:00,VENDA DE MERCADORIA,72643850000119,MONTENEGRO ATACAREJO LTDA,SC,CASSIANO DA MATA,ÍSIS CORREIA,57.26,0.24,57.02,nfe_074.xml
NFe42240897360548000184550010000321761521560385,32176,1,2024-08-10T18:24:55-03:00,VENDA DE MERCADORIA,97360548000184,PEIXOTO SUPERMERCADO LTDA,SC,VASCONCELOS DO CAMPO,HELLENA DAS NEVES,127.4,6.12,121.28,nfe_009.xml
NFe50191039256740000129550020004495561788077967,449556,2,2019-10-25T10:19:43-03:00,VENDA DE MERCADORIA,39256740000129,ALBUQUERQUE HIPERMERCADO LTDA,MS,FONSECA,CATARINA COSTA,76.26,0.0,76.26,nfe_024.xml
NFe50240619685724000144550010005234531198109940,523453,1,2024-06-06T15:28:50-03:00,VENDA DE MERCADORIA,19685724000144,FERNANDES MERCADINHO LTDA,MS,JESUS,AYLA GOMES,20.46,1.25,19.21,nfe_013.xml
NFe51180565902148000167550010005798881558274194,579888,1,2018-05-31T14:01:44-03:00,VENDA DE MERCADORIA,65902148000167,MENDES MERCEARIA LTDA,MT,GUERRA DE DA ROSA,KEVIN CAVALCANTI,6.28,0.0,6.28,nfe_098.xml
NFe51190279386412000161550010005382201152475111,538220,1,2019-02-27T10:36:14-03:00,VENDA DE MERCADORIA,79386412000161,BARROS MERCADINHO LTDA,MT,ARAGÃO,DAVI LUIZ DA ROCHA,32.73,0.0,32.73,nfe_021.xml
NFe51191113640928000182550020002101071902301296,210107,2,2019-11-13T11:49:45-03:00,VENDA DE MERCADORIA,13640928000182,REZENDE SUPERMERCADOS LTDA,MT,PIMENTA,DIEGO CIRINO,121.17,1.46,119.71,nfe_043.xml
NFe51201114786592000123550030008848471541606296,884847,3,2020-11-13T10:58:24-03:00,VENDA DE MERCADORIA,14786592000123,DA LUZ MERCADINHO LTDA,MT,MACEDO DO SUL,DR. ARTHUR RIOS,50.61,1.47,49.14,nfe_066.xml
NFe51210107698153000101550010003071721589229820,307172,1,2021-01-29T10:32:11-03:00,VENDA DE MERCADORIA,07698153000101,DUARTE SUPERMERCADOS LTDA,MT,PIMENTA,HADASSA NUNES,64.24,0.0,64.24,nfe_001.xml
NFe51220514726980000119550010007420261974676966,742026,1,2022-05-09T12:24:44-03:00,VENDA DE MERCADORIA,14726980000119,RIBEIRO HIPERMERCADO LTDA,MT,CAMARGO DE DA CUNHA,EMANUELLA MORAES,152.9,4.61,148.29,nfe_044.xml
NFe52190157216438000129550010006484861445471459,648486,1,2019-01-31T18:58:59-03:00,VENDA DE MERCADORIA,57216438000129,DA ROSA ATACAREJO LTDA,GO,OLIVEIRA,ISABELLY DA MATA,194.69,0.41,194.28,nfe_047.xml
NFe52211194608372000149550030000332971245252450,33297,3,2021-11-07T13:34:59-03:00,VENDA DE MERCADORIA,94608372000149,MACHADO MERCADO LTDA,GO,PINTO,EMANUELLA BARBOSA,66.41,0.0,66.41,nfe_007.xml
NFe52220859280417000106550030004418941361827726,441894,3,2022-08-18T18:30:51-03:00,VENDA DE MERCADORIA,59280417000106,RIOS ATACAREJO LTDA,GO,ALMEIDA,CAROLINA CASA GRANDE,35.78,0.76,35.02,nfe_079.xml
NFe52230201627395000110550020008366981826692457,836698,2,2023-02-20T14:50:02-03:00,VENDA DE MERCADORIA,01627395000110,CASSIANO MERCADINHO LTDA,GO,ALVES GRANDE,LEVI FERNANDES,246.98,0.41,246.57,nfe_073.xml
NFe52251242875316000177550020000872991821143970,87299,2,2025-12-29T18:30:14-03:00,VENDA DE MERCADORIA,42875316000177,MOREIRA MERCADINHO LTDA,GO,NOGUEIRA DE OLIVEIRA,BRAYAN DA LUZ,15.21,0.0,15.21,nfe_094.xml
NFe53181086725049000127550010009073691819436578,907369,1,2018-10-06T18:09:45-03:00,VENDA DE MERCADORIA,86725049000127,ARAÚJO SUPERMERCADO LTDA,DF,CORREIA DA PRAIA,SRTA. ISADORA OLIVEIRA,37.52,0.0,37.52,nfe_010.xml
NFe53191109438276000120550030006359781604041743,635978,3,2019-11-17T13:26:58-03:00,VENDA DE MERCADORIA,09438276000120,MARTINS HIPERMERCADO LTDA,DF,FOGAÇA DO GALHO,LAÍS DA PAZ,88.9,1.81,87.09,nfe_014.xml
NFe53221171968234000175550020004842571779702440,484257,2,2022-11-22T13:51:07-03:00,VENDA DE MERCADORIA,71968234000175,DA LUZ MERCADINHO LTDA,DF,BARROS,CAUÊ CASSIANO,45.57,0.0,45.57,nfe_088.xml
